Dấu thời gian,Name,UID,Wallet,Email,Tx hash,Which feature did you like the most?,Would you recommend this product to others?,What feature do you think is missing?,Did you encounter any bugs or usability issues?,What improvements would you like to see?
10/09/2026 4:29:11,Nguyen Minh Anh,UID-UC-001,mn_shield-addr_preprod1scr7kx62kq57gqyynf97gjgs6j8p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2vqucgs4pn0,minhanh.nguyen27@gmail.com,0x6a2c9f11ea89e5d48a3f5b72e11d08c48a729e41b9d4e5108f90c371be5a9f24,The private eligibility verification,"Yes, especially for users who care about privacy",A credential history page,The proof process took a little longer than expected,Clearer transaction progress indicators
10/09/2026 5:37:37,Tran Quoc Bao,UID-UC-002,mn_shield-addr_preprod1qz5r7x98kq42gqyynf83gjgs2j1p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v48s1k3,quocbao.tran91@gmail.com,0x357a4eecfe75b3fd4a5fb49f87932e92d1be52f43f8e1a1bf98325f0a7ff09e3,Proving eligibility without revealing personal data,"Yes, I would recommend it",A clearer transaction status tracker,I had some trouble understanding when registration was complete,More user-friendly error messages
10/09/2026 10:16:09,Le Hoang Nam,UID-UC-003,mn_shield-addr_preprod1qv8x4w31lp65aqyynf22gjgs7m9p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v79a2l4,hoangnam.le84@gmail.com,0x5d98561e3ceb0af53eb08d5ab6cb225aecb241191a0039f117b6e078340c58ae,The simple credential registration flow,"Yes, the concept is very useful",More detailed proof information,The loading state could be clearer,A simple credential dashboard
10/09/2026 12:13:47,Pham Gia Huy,UID-UC-004,mn_shield-addr_preprod1px2k8v44mq19cqyynf55gjgs3k8p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v11m3b2,giahuy.pham36@gmail.com,0x9c09602bdfed30457a876fc839ff8716d4be02558146ef508ced79b81d19c714,Privacy-focused credential verification,"Definitely, especially for Web3 users",A dashboard showing registered credentials,No major issues,Better onboarding for first-time users
10/09/2026 13:24:15,Vo Thanh Tung,UID-UC-005,mn_shield-addr_preprod1lx7n3k99vq73dqyynf88gjgs1l7p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v99x4n1,thanhtung.vo52@gmail.com,0x057e3b366bd1134aa75d24a29eb402314ac5df4e9d1649a4628b7b0c9ca1e736,The prove eligibility feature,"Yes, once the product becomes more stable",Better onboarding instructions,The error messages were a little technical,Faster proof generation
10/09/2026 19:02:52,Bui Duc Anh,UID-UC-006,mn_shield-addr_preprod1nx9m2q55lq82eqyynf11gjgs8p6p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v33v5c8,ducanh.bui73@gmail.com,0xd6d5c12c9179ed54f2b5205bab489eeb21385cccb8c620bb80ba0d3f6db6cc65,The clean and minimal interface,"Yes, I think it has good potential",A way to revoke credentials,I was unsure whether my transaction was still processing,More documentation about how the system works
10/09/2026 21:33:23,Hoang Minh Quan,UID-UC-007,mn_shield-addr_preprod1kx4p8w22nq31fqyynf77gjgs9r4p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v66k8d9,minhquan.hoang18@gmail.com,0x0463042f760211c22ae4b070779c4674ad249c61bfeb576269ce8f6ac0dffae9,Being able to verify a credential privately,"Yes, the privacy aspect is interesting",Credential expiration support,The prove button did not immediately show feedback,A clearer success message after registration
10/09/2026 22:37:16,Dang Tuan Kiet,UID-UC-008,mn_shield-addr_preprod1sx3r9v66pq47gqyynf44gjgs5t2p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v22p7e4,tuankiet.dang64@gmail.com,0xdaa87d27297f8951f7e3c022b9a3e25834a11669b9255ff6e951c92a74afbed1,The overall privacy concept,I would recommend it to developers exploring private credentials,A profile page,No serious bugs during my test,More credential management options
11/09/2026 5:57:05,Do Quang Huy,UID-UC-009,mn_shield-addr_preprod1vx6k1m88tq92hqyynf99gjgs4u8p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v88q1f7,quanghuy.do45@gmail.com,0x77123bc5fff0c40581b23db1a85485d8281b25be657534a4ad198d5c64f725a5,The credential registration process,"Yes, the product is simple to understand",More credential types,The registration status was not always obvious,Improved loading states
11/09/2026 11:08:49,Ngo Viet Anh,UID-UC-010,mn_shield-addr_preprod1mx8j4l11uq53iqyynf33gjgs2w9p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v55r9g3,vietanh.ngo29@gmail.com,0x36a44c239b69e86b1af9cadad1b73eeec95c4cdaeff76a5d036e5db8da8967d8,The confidential proof system,Probably yes,A transaction history,I encountered a failed request once,A transaction history page
11/09/2026 11:18:27,Duong Minh Duc,UID-UC-011,mn_shield-addr_preprod1qx1m7p33vq64jqyynf66gjgs6x1p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v44s2h6,minhduc.duong87@gmail.com,0x2ffbadb280507b2d7625234e76a2c038f024f9deb80f96e7c0200b482ec79efd,The idea of proving eligibility without exposing data,"Yes, especially for privacy-focused applications",A progress indicator while generating proofs,The interface could explain errors more clearly,More explanations about privacy and proofs
11/09/2026 13:12:38,Phan Thanh Dat,UID-UC-012,mn_shield-addr_preprod1zx4k9r77wq18kqyynf22gjgs7y3p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v11t8i5,thanhdat.phan33@gmail.com,0x0545ae245402a0ee836b33095a3743ddd158111aa5bbd4faf3dd06cdabea35f6,The simple verification flow,"Yes, after a few usability improvements",A help section,The proof action felt slow,A guided registration flow
11/09/2026 14:02:24,Nguyen Gia Bao,UID-UC-013,mn_shield-addr_preprod1wx7p2s99xq29lqyynf88gjgs9z5p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v77u4j1,giabao.nguyen58@gmail.com,0x1739de86597f50ef5bef0b8e793b4314e26d4f5972dfc66e9ee25bca0ad6411b,The privacy-first design,Definitely,A credential management dashboard,I had to retry the credential registration,Better handling of failed transactions
11/09/2026 16:30:30,Tran Minh Khang,UID-UC-014,mn_shield-addr_preprod1cx9q5v22yq73mqyynf11gjgs3a7p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v33v1k9,minhkhang.tran42@gmail.com,0xe62c341f8faab34fa3ed7d1bf9a0e5c08d2bb5bfe01b5f67d5b6ce401893ebe8,The credential proof feature,"Yes, I like the idea",Exportable proof details,No major usability problems,More examples of real-world use cases
11/09/2026 19:57:14,Le Duc Thinh,UID-UC-015,mn_shield-addr_preprod1bx3m8w44zq84nqyynf77gjgs1b9p0a62eht8gd4gp3tk2p5nksrv7f5gsqcuj5009xk067r0fk3fcm3grlkaey78pwrfveq0xh2v99w6l2,ducthinh.le76@gmail.com,0xaeb5d5b46d7f54d7f9734c8eff5f395f9c2395a5e8a68ecef96a70e832564207,The quick registration process,"Yes, it could be useful for many credential use cases",A clearer explanation of how privacy works,The transaction feedback was limited,A credential history section
